requirement_id;test_basis;test_case_id;title;priority;test_type;quality_characteristic;persona;risk;test_perspective;preconditions;code_module;api_endpoint;input_data;steps;expected_result;datastore_assertion;automation_status;automation_priority;regression_target;static_analysis_status;result;evidence;notes;update_date
REQ-VB-01;configs/claude/hooks/validate_bash.cs:L33 (ToolName != Bash guard);TC-01;非 Bash ツールは素通りする;High;正常系;機能適合性;QA-4;Bash 以外のツールを誤って阻害し全操作が止まる;tool_name 判定の早期 return;dotnet SDK が PATH に存在;validate_bash.cs:main;PreToolUse(Write|Edit);{tool_name:Write,tool_input:{command:awk 1}};JSON を stdin に渡し dotnet run で実行;標準出力なし かつ exit 0;該当なし (データストア無し);自動;High;Yes;確認済 (parity.sh);Pass;parity.sh case Write/awk -> PASS;移植元 .sh と一致;2026-06-27
REQ-VB-02;configs/claude/hooks/validate_bash.cs:L36 (command 空判定);TC-02;command 欠損時は素通りする;High;境界値;信頼性;QA-1;欠損入力でクラッシュしフックが異常終了する;空/欠損入力のハンドリング;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{}};JSON を stdin に渡し実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (parity.sh);Pass;parity.sh case Bash/(none) -> PASS;null 安全性 (?? 演算子);2026-06-27
REQ-VB-03;configs/claude/hooks/validate_bash.cs:commandRules awk;TC-03;awk を reject し正しい理由を返す;High;異常系;機能適合性;QA-5;禁止コマンドが通過し設計規約が破られる;COMMAND_RULES の照合と理由文;同上;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:awk 1 f}};実行;permissionDecision=deny reason=awk is prohibited...;該当なし;自動;High;Yes;確認済;Pass;parity OK;理由文も .sh と完全一致;2026-06-27
REQ-VB-03;configs/claude/hooks/validate_bash.cs:commandRules sed;TC-04;sed を reject する;High;異常系;機能適合性;QA-5;同上;COMMAND_RULES 照合;同上;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:sed -i s/a/b/ f}};実行;permissionDecision=deny reason=sed is prohibited...;該当なし;自動;High;Yes;確認済;Pass;parity OK;;2026-06-27
REQ-VB-03;configs/claude/hooks/validate_bash.cs:commandRules python;TC-05;python を reject する;High;異常系;機能適合性;QA-5;同上;COMMAND_RULES 照合;同上;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:python x.py}};実行;permissionDecision=deny reason=python is prohibited...;該当なし;自動;High;Yes;確認済;Pass;parity OK;;2026-06-27
REQ-VB-03;configs/claude/hooks/validate_bash.cs:commandRules uvx/npx/bunx;TC-06;uvx npx bunx を reject する;Mid;異常系;機能適合性;QA-1;Nix 以外のツール実行が通過する;複数ルールの網羅;同上;validate_bash.cs:main;PreToolUse(Bash);{command:uvx ruff}/{command:npx tsc}/{command:bunx vite};各々実行;いずれも permissionDecision=deny reason=...via nix;該当なし;自動;Mid;Yes;確認済;Pass;parity OK 3 ケース;;2026-06-27
REQ-VB-04;configs/claude/hooks/validate_bash.cs:L46 ($\b{name}\b 語境界);TC-07;python3 は語境界により非該当で素通りする;High;境界値;機能適合性;QA-3;移植で正規表現意味が変わり過剰/過少ブロックする;\b の意味同値性;同上;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:python3 x.py}};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済;Pass;parity.sh python3 -> PASS;.NET Regex と grep -E の \b 同値性が要点;2026-06-27
REQ-VB-05;configs/claude/hooks/validate_bash.cs:patternRules git add;TC-08;git add -A --all . を reject する;High;異常系;セキュリティ;QA-1;意図しないファイルが一括ステージされる;PATTERN_RULES 正規表現照合;同上;validate_bash.cs:main;PreToolUse(Bash);{command:git add -A}/{git add --all}/{git add .};各々実行;いずれも permissionDecision=deny reason=git add...;該当なし;自動;High;Yes;確認済;Pass;parity OK 3 ケース;セミコロン回避のため理由文は要約;2026-06-27
REQ-VB-06;configs/claude/hooks/validate_bash.cs:patternRules;TC-09;git add <file> は素通りする;High;正常系;機能適合性;QA-4;正当な部分ステージまで阻害する;正規表現の過剰マッチ防止;同上;validate_bash.cs:main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:git add file.txt}};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済;Pass;parity OK;;2026-06-27
REQ-VB-07;configs/claude/hooks/validate_bash.cs:Program.Main (System.Text.Json);TC-10;deny 出力が公式スキーマで解釈可能;High;正常系;互換性;QA-5;無効値だとフックが実際にブロックせず禁止コマンドが素通りする;出力スキーマ hookSpecificOutput.permissionDecision;同上;validate_bash.cs:Program.Main;PreToolUse(Bash);{command:awk 1};実行し出力を jq でパース;jq .hookSpecificOutput.permissionDecision == deny かつ permissionDecisionReason 非空;該当なし;自動;High;Yes;確認済;Pass;deny JSON を jq で検証;旧 decision:reject は無効値だった (修正済);2026-06-27
