requirement_id;test_basis;test_case_id;title;priority;test_type;quality_characteristic;persona;risk;test_perspective;preconditions;code_module;api_endpoint;input_data;steps;expected_result;datastore_assertion;automation_status;automation_priority;regression_target;static_analysis_status;result;evidence;notes;update_date
R1-extension-filter;validate_comment_format.cs:SourceFile.IsSource;TC-01;非対象拡張子は走査せず無出力;High;正常系;機能適合性;QA-5;非対象ファイルを誤走査し無関係な違反を出す;対象拡張子のみ処理されること;extensions.csv に無い拡張子で hook 起動;validate_comment_format.cs:SourceFile.IsSource;stdin JSON (Write);file_path=foo.md;hook に Write JSON を渡す;標準出力なし (return 0);violations を出力しない;手動;Mid;Yes;確認済 (コード読了);未実行;;R2 と同経路で回帰確認可;2026-07-11
R2-marker-required;validate_comment_format.cs:Check(!isHeader,!HasMarker);TC-02;マーカー無しコメントを検出;High;異常系;保守性;QA-1;マーカー無しコメントが素通りし語彙強制が効かない;whitelist 始まりでない非 doc コメントの検出;対象拡張子ファイル;validate_comment_format.cs:Check;N/A;コード行後に # マーカー無しコメント;hook 起動しコメント走査;L4 マーカー語彙なし を報告;additionalContext に L4 マーカー語彙なし;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ sample.py L4;;2026-07-11
R3-max-two-lines;validate_comment_format.cs:Check(Lines.Count>MaxLines);TC-03;論理コメント3行以上を検出;High;境界値;保守性;QA-1;冗長コメントが許容される;3行に渡る論理コメントの検出;対象拡張子ファイル;validate_comment_format.cs:Check;N/A;マーカー始まり3行連結コメント;hook 起動;3行以上 (最大2行) を報告;additionalContext に 3行以上;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ blk.rs L2;2行はPASS境界も要確認;2026-07-11
R3-boundary-two-ok;validate_comment_format.cs:Check(Lines.Count>MaxLines);TC-04;ちょうど2行のマーカーコメントは合格;High;境界値;機能適合性;QA-1;境界誤判定で正当な2行を弾く;2行 (MaxLines) が違反にならない;対象拡張子ファイル;validate_comment_format.cs:Check;N/A;// TODO: 見出し と継続1行の2行;hook 起動;行数違反を報告しない;3行以上を出力しない;自動;High;Yes;確認済 (コード読了);未実行;;境界 count==2 の等号確認;2026-07-11
R4-max-width;validate_comment_format.cs:CommentScanner.MaxWidth/Width;TC-05;80文字超過行を検出;High;境界値;保守性;QA-1;長大な行が許容される;raw 行長 (TrimEnd) が80超で違反;対象拡張子ファイル;validate_comment_format.cs:Check;N/A;81文字のマーカー付きコメント行;hook 起動;80文字超過 を報告;additionalContext に 文字超過;自動;High;Yes;確認済 (コード読了);未実行;;80ちょうどは合格の等号境界も要確認;2026-07-11
R5-issue-ref;validate_comment_format.cs:CommentScanner.IssueRef;TC-06;issue/PR番号を検出;High;セキュリティ;保守性;QA-1;一過性の番号が恒久コメントに残る;シャープ123 GH-123 issues/123 pull/123 の検出;対象拡張子ファイル;validate_comment_format.cs:IssueRef;N/A;# SEE: issue シャープ123;hook 起動;issue/PR 番号を含む を報告;additionalContext に issue/PR 番号;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ sample.py L5;GH-123 と pull/123 の別形も要追加検証;2026-07-11
R5-false-positive;validate_comment_format.cs:CommentScanner.IssueRef;TC-07;番号を含まないシャープ表記を誤検出しない;Mid;異常系;信頼性;QA-5;正当な色コードやアンカーを誤検出;色コードや単語内 pr の非検出;対象拡張子ファイル;validate_comment_format.cs:IssueRef;N/A;# NOTE: color fff and improve;hook 起動;issue 違反を報告しない;誤検出なし;自動;Mid;No;確認済 (コード読了);未実行;;数字混在の色表記は誤検出許容 (仕様上の受容);2026-07-11
R6-doc-exempt;validate_comment_format.cs:CollectSlash(doc);TC-08;doc コメントは全免除;High;正常系;機能適合性;QA-5;doc コメントを誤って違反化;三スラや block doc を走査対象外にする;Slash 系ファイル;validate_comment_format.cs:CollectSlash;N/A;三スラ 長い doc 行とマーカー無し;hook 起動;doc に対し違反を報告しない;doc 由来 violation なし;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ ok.rs doc 行;;2026-07-11
R7-header-relax;validate_comment_format.cs:Scan(isHeader),Check;TC-09;先頭ヘッダは marker と行数を免除;High;正常系;保守性;QA-4;既存フックのヘッダが違反化し全編集で発火;最初のコード行より前のコメント免除;先頭にマーカー無し複数行ヘッダ;validate_comment_format.cs:FirstCodeLine;N/A;先頭 slash ヘッダ2行 then code;hook 起動;マーカー語彙なしと3行を報告しない;ヘッダ由来 violation なし;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ self と ok.rs ヘッダ;;2026-07-11
R7-header-still-issue;validate_comment_format.cs:Check(isHeader,IssueRef/Width);TC-10;ヘッダでも80文字と issue番号は強制;High;セキュリティ;保守性;QA-1;ヘッダ免除の穴で番号や長大行が素通り;ヘッダに対し width と issue のみ強制;先頭ヘッダに issue 番号;validate_comment_format.cs:Check;N/A;# header referencing issue シャープ42;hook 起動;L1 issue/PR 番号を含む を報告;additionalContext に L1 issue;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ hdr.py L1;code-review #2 の是正確認;2026-07-11
R8-shebang;validate_comment_format.cs:CollectPrefix(shebangAware);TC-11;shebang 行は免除;Mid;正常系;移植性;QA-5;shebang を語彙違反として誤検出;先頭 shebang のみ除外;shebang 付き py/sh;validate_comment_format.cs:CollectPrefix;N/A;先頭 shebang 行 python3;hook 起動;shebang に違反を報告しない;shebang 由来 violation なし;自動;Mid;Yes;確認済 (実行検証済);Pass;手動実行ログ sample.py L1;;2026-07-11
R9-comment-token;validate_comment_format.cs:FamilyOf;TC-12;言語別コメントトークンを解釈;High;正常系;互換性;QA-5;誤ったトークンで検出漏れや誤検出;slash sharp dash の family 分類;各 family の代表拡張子;validate_comment_format.cs:FamilyOf;N/A;.rs と .py と .lua 各サンプル;hook 起動;各 family で違反検出が機能;family 別に正しく走査;自動;High;Yes;確認済 (実行検証済 slash と sharp);未実行;;dash (lua/hs) は未実行;2026-07-11
R9-unsupported-ext;validate_comment_format.cs:FamilyOf(null);TC-13;非対応コメント言語は素通り;Low;異常系;信頼性;QA-5;family null で例外や誤走査;block 専用言語で無出力;.ml が extensions にある場合;validate_comment_format.cs:FamilyOf;N/A;file_path=foo.ml;hook 起動;例外なく無出力;violations 空;自動;Low;No;確認済 (コード読了);未実行;.ml は行トークン無しで null 返却;仕様上の受容;2026-07-11
R10-block-marker;validate_comment_format.cs:CollectBlock(body.Any);TC-14;ブロックコメントの marker を全行判定;Mid;異常系;機能適合性;QA-1;marker が2行目以降だと誤って語彙なし;block 内 marker の検出;Slash 系ファイル;validate_comment_format.cs:CollectBlock;N/A;block 内2行目 CONSTRAINT;hook 起動;マーカー語彙なしを報告しない;誤 violation なし (3行のみ);自動;Mid;Yes;確認済 (実行検証済);Pass;手動実行ログ blk.rs code-review #4是正;;2026-07-11
R11-markers-const;validate_comment_format.cs:Markers.StartsWithMarker;TC-15;const 語彙で合格判定する;High;正常系;保守性;QA-2;const と comment_markers.md の語彙 drift;const の7マーカーを regex 化;なし;validate_comment_format.cs:Markers;N/A;7 マーカーで始まるコメント;hook 起動;各マーカーが合格語彙;7 マーカーで語彙判定;自動;High;Yes;確認済 (実行検証済);Pass;手動実行ログ CONSTRAINT/SEE 判定;markers.csv を廃止し const 化;2026-07-11
R11-drift;validate_comment_format.cs:Markers 対 comment_markers.md;TC-16;const と human doc の語彙一致;Mid;リグレッション;保守性;QA-5;const と md が乖離し writer と validator の契約崩れ;単一語彙の同期確認;なし;validate_comment_format.cs:Markers;N/A;const 7 マーカーと md の表;目視で 7 マーカー一致を確認;両者が同じ 7 マーカー;drift なし;手動;Mid;No;確認済 (コード読了);未実行;fallback は廃止 (const は常在);const 化で外部ファイル欠損の失敗経路が消滅;2026-07-11
