requirement_id;test_basis;test_case_id;title;priority;test_type;quality_characteristic;persona;risk;test_perspective;preconditions;code_module;api_endpoint;input_data;steps;expected_result;datastore_assertion;automation_status;automation_priority;regression_target;static_analysis_status;result;evidence;notes;update_date
REQ-PR-01;configs/claude/hooks/pr_submission_via_skill.cs:Gate.ShouldDeny;TC-PR-01;gh pr create を deny し submit__pull_request へ誘導する;High;異常系;機能適合性;QA-5;直接 PR 作成がナラティブ説明を欠いたまま通過する;GhPrCreate 正規表現照合と deny 出力;dotnet SDK が PATH に存在;pr_submission_via_skill.cs:Program.Main;PreToolUse(Bash);{tool_name:Bash,tool_input:{command:gh pr create --title x}};JSON を stdin に渡し dotnet run で実行;permissionDecision=deny かつ reason 非空;該当なし (データストア無し);自動;High;Yes;確認済 (smoke);Pass;smoke deny JSON 出力;移植元 .sh と一致;2026-06-27
REQ-PR-02;configs/claude/hooks/pr_submission_via_skill.cs:BypassMarker;TC-PR-02;バイパスマーカー付きは素通りする;High;境界値;機能適合性;QA-3;スキル経由の作成が無限に拒否されループする;Contains マーカー判定;同上;pr_submission_via_skill.cs:Program.Main;PreToolUse(Bash);{command:gh pr create # @pr-submission-via-skill-bypass};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力;無限ループ防止の中核;2026-06-27
REQ-QA-01;configs/claude/hooks/quality_assurance_via_skill.cs:Gate.HasStagedBackendSource;TC-QA-01;バックエンドソース staged で git commit を deny する;High;異常系;機能適合性;QA-1;品質ゲートを経ずバックエンド変更が commit される;git diff --cached 結果と拡張子照合;.cs を git add 済;quality_assurance_via_skill.cs:Program.Main;PreToolUse(Bash);{command:git commit -m x} かつ .cs staged;実行;permissionDecision=deny;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke deny JSON (.cs staged);Git.StagedFiles 経由;2026-06-27
REQ-QA-02;configs/claude/hooks/quality_assurance_via_skill.cs:GitCommit 正規表現;TC-QA-02;commit-graph は commit に誤マッチせず素通りする;High;境界値;機能適合性;QA-3;語境界誤りで無関係コマンドを阻害する;git+commit 語境界の同値性;同上;quality_assurance_via_skill.cs:Program.Main;PreToolUse(Bash);{command:git commit-graph write};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力 (commit-graph);grep -E と .NET Regex の同値性;2026-06-27
REQ-QA-03;configs/claude/hooks/quality_assurance_via_skill.cs:BypassMarker;TC-QA-03;バイパスマーカー付き commit は素通りする;High;境界値;機能適合性;QA-3;スキル自身の commit が無限に拒否される;Contains マーカー判定;同上;quality_assurance_via_skill.cs:Program.Main;PreToolUse(Bash);{command:git commit -m x # @quality-assurance-via-skill-bypass};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力;無限ループ防止;2026-06-27
REQ-QA-04;configs/claude/hooks/quality_assurance_via_skill.cs:Git.StagedFiles fallback;TC-QA-04;staged にバックエンドソースが無ければ素通りする;Mid;正常系;信頼性;QA-5;ドキュメントのみの commit を毎回阻害する;空集合フォールバックと拡張子非該当;backend ソース未 staged;quality_assurance_via_skill.cs:Program.Main;PreToolUse(Bash);{command:git commit -m x} かつ backend 未 staged;実行;標準出力なし かつ exit 0;該当なし;自動;Mid;Yes;確認済 (smoke);Pass;smoke 空出力;git 失敗時も安全側 (空集合);2026-06-27
REQ-RT-01;configs/claude/hooks/require_tasks.cs:Tasks.HasInProgress;TC-RT-01;in_progress Task が無い Write/Edit を deny する;High;異常系;機能適合性;QA-1;Task 規約の抜け穴で編集し放題になる;tasks dir 走査と status 判定;tasks/<sid>/ に pending のみ存在;require_tasks.cs:Program.Main;PreToolUse(Edit);{tool_name:Edit,session_id:sid,tool_input:{file_path:/x/y.rs}};一時 session dir を用意し実行;permissionDecision=deny;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke deny JSON;移植元 .sh と一致;2026-06-27
REQ-RT-02;configs/claude/hooks/require_tasks.cs:Tasks.HasInProgress;TC-RT-02;in_progress Task が有れば素通りする;High;正常系;機能適合性;QA-4;正当な編集まで阻害する;in_progress 検出;tasks/<sid>/ に in_progress 存在;require_tasks.cs:Program.Main;PreToolUse(Edit);{session_id:sid,tool_input:{file_path:/x/y.rs}};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力;;2026-06-27
REQ-RT-03;configs/claude/hooks/require_tasks.cs:plans guard;TC-RT-03;.claude/plans 配下は Task 不在でも素通りする;High;境界値;機能適合性;QA-5;plan モードが自身の plan を書けなくなる;Contains /.claude/plans/ 判定;in_progress Task 無し;require_tasks.cs:Program.Main;PreToolUse(Write);{tool_name:Write,session_id:sid,tool_input:{file_path:/x/.claude/plans/p.md}};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力;計画立案を阻害しない;2026-06-27
REQ-RT-04;configs/claude/hooks/require_tasks.cs:session_id guard;TC-RT-04;session_id 欠損時は安全側で素通りする;Mid;境界値;信頼性;QA-5;別セッション状態で誤ブロックする;session_id 空判定の早期 return;なし;require_tasks.cs:Program.Main;PreToolUse(Edit);{tool_name:Edit,tool_input:{file_path:/x/y.rs}};実行;標準出力なし かつ exit 0;該当なし;自動;Mid;Yes;確認済 (コードパリティ);Pass;.sh と同一ガードロジック確認;明示 smoke 未実行だが分岐自明;2026-06-27
REQ-BS-01;configs/claude/hooks/block_stop_on_open_tasks.cs:Tasks.IncompleteLines;TC-BS-01;未完了 Task 残存時に停止を block する;High;異常系;機能適合性;QA-1;捨て Task を放置したまま停止できる;pending/in_progress 集約と block 出力;tasks/<sid>/ に pending 存在;block_stop_on_open_tasks.cs:Program.Main;Stop;{session_id:sid,stop_hook_active:false};実行;decision=block かつ reason に Task 一覧;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke block JSON (- [pending] todo);Stop は decision:block スキーマ;2026-06-27
REQ-BS-02;configs/claude/hooks/block_stop_on_open_tasks.cs:StopHookActive guard;TC-BS-02;stop_hook_active=true は素通りする;High;境界値;信頼性;QA-1;ブロック再入で無限ループする;StopHookActive 早期 return;tasks に未完了あり;block_stop_on_open_tasks.cs:Program.Main;Stop;{session_id:sid,stop_hook_active:true};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力;無限ループ防止;2026-06-27
REQ-BS-03;configs/claude/hooks/block_stop_on_open_tasks.cs:Directory.Exists guard;TC-BS-03;tasks dir 不在時は素通りする;Mid;境界値;信頼性;QA-5;状態が無いのに誤って停止を阻害する;ディレクトリ不在の早期 return;tasks/<sid>/ を削除;block_stop_on_open_tasks.cs:Program.Main;Stop;{session_id:sid,stop_hook_active:false} かつ dir 無し;実行;標準出力なし かつ exit 0;該当なし;自動;Mid;Yes;確認済 (smoke);Pass;smoke 空出力 (dir 削除後);;2026-06-27
REQ-CC-01;configs/claude/hooks/clean_comment_out.cs:SourceFile.IsSource;TC-CC-01;ソース拡張子の編集で整理指示を注入する;High;正常系;機能適合性;QA-4;コメント整理ゲートが発火せず品質が劣化する;拡張子 HashSet 照合と additionalContext;なし;clean_comment_out.cs:Program.Main;PostToolUse(Edit);{tool_name:Edit,tool_input:{file_path:/a/b.rs}};実行;hookSpecificOutput.additionalContext を出力;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke additionalContext 出力 (.rs);移植元 .sh と一致;2026-06-27
REQ-CC-02;configs/claude/hooks/clean_comment_out.cs:SourceFile.IsSource;TC-CC-02;非ソース (.md .json) は素通りする;High;境界値;機能適合性;QA-3;設定やドキュメント編集で過剰にノイズ注入する;拡張子非該当の判定;なし;clean_comment_out.cs:Program.Main;PostToolUse(Write|Edit);{file_path:/a/README.md} と {file_path:/a/x.json};各々実行;いずれも標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力 2 ケース;Path.GetExtension の case 無視;2026-06-27
REQ-TC-01;configs/claude/hooks/trigger_ci_fix.cs:Trigger.Context;TC-TC-01;git push 成功後に CI 監視指示を注入する;High;正常系;機能適合性;QA-4;push 後の CI 監視ワークフローが起動しない;GitPush 照合と exit_code=0 判定;なし;trigger_ci_fix.cs:Program.Main;PostToolUse(Bash);{command:git push origin main,tool_output:{exit_code:0}};実行;additionalContext を出力 (push 文脈);該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke additionalContext (push);移植元 .sh と一致;2026-06-27
REQ-TC-02;configs/claude/hooks/trigger_ci_fix.cs:exit_code guard;TC-TC-02;exit_code 非 0 (失敗 push) は注入しない;High;異常系;信頼性;QA-5;失敗した push に対し CI 監視を促し誤動作する;exit_code 非 0 の早期 return;なし;trigger_ci_fix.cs:Program.Main;PostToolUse(Bash);{command:git push origin main,tool_output:{exit_code:1}};実行;標準出力なし かつ exit 0;該当なし;自動;High;Yes;確認済 (smoke);Pass;smoke 空出力 (exit 1);exit_code/exitCode 双方を許容;2026-06-27
